,City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Date
178,lohja,60.2486,24.0653,16.0,92,71,4.0,1612687287
179,faanui,-16.4833,-151.75,82.33,71,31,11.18,1612687287
180,betong,5.7743,101.0723,90.81,39,5,5.95,1612687287
181,broken hill,-31.95,141.4333,78.8,31,0,14.97,1612687287
182,caranavi,-15.8167,-67.55,63.63,96,86,1.48,1612687288
183,payakumbuh,-0.2202,100.6308,80.06,73,99,1.57,1612687288
184,namtsy,62.7161,129.6658,-38.2,67,0,6.71,1612687288
185,victoria,22.2855,114.1577,72.0,60,0,1.99,1612687050
186,yenagoa,4.9247,6.2642,87.82,64,76,6.24,1612687276
187,coahuayana,18.7333,-103.6833,69.28,87,31,3.13,1612687288
188,belmonte,-15.8631,-38.8828,77.0,88,75,5.75,1612687288
189,kedrovoye,57.1576,60.5698,5.0,72,90,22.37,1612687288
190,bathsheba,13.2167,-59.5167,77.0,73,75,20.71,1612687289
191,nyrob,60.733,56.7202,-6.36,90,100,7.83,1612687289
192,kokopo,-4.352,152.2633,80.55,82,57,9.35,1612687289
193,qaqortoq,60.7167,-46.0333,39.2,38,75,44.87,1612687289
194,norman wells,65.282,-126.8329,-20.2,69,75,10.36,1612687290
195,amapa,1.0,-52.0,70.93,98,18,1.28,1612687290
196,lake city,30.1897,-82.6393,53.6,94,90,3.44,1612687290
197,chardara,41.2547,67.9692,55.85,66,100,10.65,1612687290
198,cayenne,4.9333,-52.3333,77.0,100,75,4.61,1612687290
199,orotukan,62.2667,151.7,-10.73,87,100,3.33,1612687291
200,padang,-0.9492,100.3543,91.4,55,20,8.05,1612687261
201,karwar,14.8,74.1333,88.66,33,0,6.62,1612687220
202,geraldton,-28.7667,114.6,75.2,64,90,20.71,1612687148
203,komsomolskiy,40.4272,71.7189,53.6,35,20,4.61,1612687291
204,abu dhabi,24.4667,54.3667,75.2,46,0,9.22,1612687072
205,kushima,31.4583,131.2333,60.8,55,0,16.11,1612687291
